Product_Link,Product_Name,Rating,Price,Website,Description
"https://www.google.com/shopping/product/16884831235828006854?q=acne+skin+care+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIL-4d7RbkyBflis12Vtvp7xG5TtFQ:1718809611715&oq=acne+skin+&gs_lp=Egtwcm9kdWN0cy1jYyIKYWNuZSBza2luICoCCAAyBRAAGIAEMgcQABiABBgKMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgARIuzdQAFi8InABeACQAQCYAZYBoAH0CKoBBDAuMTC4AQPIAQD4AQGYAgugAqAJqAIBwgIHECMYJxjqAsICChAAGIAEGEMYigWYAwSSBwQxLjEwoAf0Lw&sclient=products-cc&prds=eto:16188137141743898242_0,pid:6790012108694015707,rsk:PC_4141345875118896417&sa=X&ved=0ahUKEwi2uP3i-ueGAxVvzDgGHcLACqgQ8gIIthUoAA",Jamun Salicylic Acid Cleanser and 10% Niacinamide Face Serum For Acne Marks ...,4.5131,₹ 649.00,Plix Life,Face Wash · Serum
"https://www.google.com/shopping/product/12362186818300486243?q=acne+skin+care+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIL-4d7RbkyBflis12Vtvp7xG5TtFQ:1718809611715&oq=acne+skin+&gs_lp=Egtwcm9kdWN0cy1jYyIKYWNuZSBza2luICoCCAAyBRAAGIAEMgcQABiABBgKMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgARIuzdQAFi8InABeACQAQCYAZYBoAH0CKoBBDAuMTC4AQPIAQD4AQGYAgugAqAJqAIBwgIHECMYJxjqAsICChAAGIAEGEMYigWYAwSSBwQxLjEwoAf0Lw&sclient=products-cc&prds=eto:17741045405564833539_0,pid:7819140731900854119,rsk:PC_15529740867880376416&sa=X&ved=0ahUKEwi2uP3i-ueGAxVvzDgGHcLACqgQ8gIIohMoAA",Dot & Key Cica + 2% Salicylic Spot Correction Gel,4.449,₹ 280.00,Smytten,Salicylic Acid · Gel
https://www.dotandkey.com/products/dot-key-cica-10-niacinamide-serum-for-blemish-free-spotless-glowing-skin-3-tranexamic-reduces-acne-dark-spots-oily-acne-prone-sensitive-skin?srsltid=AfmBOoojZgP8YueFiF_nKAhzWdwBIpnClXFpU004Jt7KNJDL_CfW63rgFTg,Dot & Key 10% Niacinamide + Cica Serum | Reduces Acne & Dark Spots | For Oily ...,4.243,₹ 509.00,Dot & Key,Serum · For Oily Skin
https://www.amazon.in/Ustraa-Face-Wash-Oily-Skin/dp/B07DQG6J71?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A1YTBN9A76TAKA&th=1,"Ustraa Face Wash - for Acne & Oil Control, Oily Skin 100 gms",4.2302,₹ 190.00,blinkit,Oil-free · Salicylic Acid
"https://www.google.com/shopping/product/11542267668523376846?q=acne+skin+care+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIL-4d7RbkyBflis12Vtvp7xG5TtFQ:1718809611715&oq=acne+skin+&gs_lp=Egtwcm9kdWN0cy1jYyIKYWNuZSBza2luICoCCAAyBRAAGIAEMgcQABiABBgKMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgARIuzdQAFi8InABeACQAQCYAZYBoAH0CKoBBDAuMTC4AQPIAQD4AQGYAgugAqAJqAIBwgIHECMYJxjqAsICChAAGIAEGEMYigWYAwSSBwQxLjEwoAf0Lw&sclient=products-cc&prds=eto:9443296595002187137_0,pid:14678386490634656791,rsk:PC_13540132584716508306&sa=X&ved=0ahUKEwi2uP3i-ueGAxVvzDgGHcLACqgQ8gIItRQoAA",Dot & Key Cica Calming Rapid Relief Face Mask 25 ml,4.223,₹ 276.00,Tata CLiQ Lifestyle,Face Mask · Gel
"https://www.google.com/shopping/product/1900532667665884872?q=acne+skin+care+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIL-4d7RbkyBflis12Vtvp7xG5TtFQ:1718809611715&oq=acne+skin+&gs_lp=Egtwcm9kdWN0cy1jYyIKYWNuZSBza2luICoCCAAyBRAAGIAEMgcQABiABBgKMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgARIuzdQAFi8InABeACQAQCYAZYBoAH0CKoBBDAuMTC4AQPIAQD4AQGYAgugAqAJqAIBwgIHECMYJxjqAsICChAAGIAEGEMYigWYAwSSBwQxLjEwoAf0Lw&sclient=products-cc&prds=eto:13065003915455417972_0,pid:2945358456918957653,rsk:PC_16079471863539447683&sa=X&ved=0ahUKEwi2uP3i-ueGAxVvzDgGHcLACqgQ8gIIhBUoAA",Minimalist Salicylic Acid 2% Face Serum 30ml,4.21,₹ 461.00,Snapdeal,Salicylic Acid · Oil-free
"https://www.google.com/shopping/product/1149518778470682140?q=acne+skin+care+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIL-4d7RbkyBflis12Vtvp7xG5TtFQ:1718809611715&oq=acne+skin+&gs_lp=Egtwcm9kdWN0cy1jYyIKYWNuZSBza2luICoCCAAyBRAAGIAEMgcQABiABBgKMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgARIuzdQAFi8InABeACQAQCYAZYBoAH0CKoBBDAuMTC4AQPIAQD4AQGYAgugAqAJqAIBwgIHECMYJxjqAsICChAAGIAEGEMYigWYAwSSBwQxLjEwoAf0Lw&sclient=products-cc&prds=eto:14272705370931461888_0,pid:5627004124236788177,rsk:PC_3625778875744715201&sa=X&ved=0ahUKEwi2uP3i-ueGAxVvzDgGHcLACqgQ8gIIwBMoAA",Dot & Key Cica Calming Night Gel With Niacinamide & Tea Tree Oil - Fights Dark ...,4.155,₹ 298.00,kindlife.in,Topical · Gel
https://www.myntra.com/day-cream/biotique/biotique-winter-green-spot-correcting-anti-acne-cream-15-g/1661474/buy,Biotique Bio Winter Green Spot Correcting Anti Acne Cream,3.9318,₹ 180.00,bigbasket.com,Topical · Cream
"https://www.google.com/shopping/product/10105496077299167535?q=acne+skin+care+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIL-4d7RbkyBflis12Vtvp7xG5TtFQ:1718809611715&oq=acne+skin+&gs_lp=Egtwcm9kdWN0cy1jYyIKYWNuZSBza2luICoCCAAyBRAAGIAEMgcQABiABBgKMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgARIuzdQAFi8InABeACQAQCYAZYBoAH0CKoBBDAuMTC4AQPIAQD4AQGYAgugAqAJqAIBwgIHECMYJxjqAsICChAAGIAEGEMYigWYAwSSBwQxLjEwoAf0Lw&sclient=products-cc&prds=eto:17026813532570404675_0,pid:18279409787998550311,rsk:PC_12131427517739333265&sa=X&ved=0ahUKEwi2uP3i-ueGAxVvzDgGHcLACqgQ8gIIlBMoAA",Biotique Bio Winter Green Spot Correcting Anti Acne Cream(15g),3.33,₹ 130.00,₹499 minimum order,
https://products.drbatras.com/products/skin-glow-serum-for-luminous-skin?variant=47065253740824&currency=INR&srsltid=AfmBOoq1vW7dwvDJtyPfkkBshfI5zv6qXV49DZVR6k5XYcMpH98i7CbIg-8,"Dr Batra's Pro+ Skin Clear Serum for Acne-Free Skin, with Salicylic Acid ...",1.01,₹ 549.00,Dr Batra's,Niacinamide · Serum
